                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     94,                 1.0747,                0.87006,                 1.1538,                0.80305,                0.65619,                0.75189,                0.52436,                0.98402,                0.72796,                 1.0739,               0.006964,               0.006964,               0.006964
                     95,                 1.0749,                0.86921,                 1.1547,                0.80097,                0.65555,                 0.7519,                0.52442,                0.98411,                 0.7278,                 1.0738,               0.006931,               0.006931,               0.006931
                     96,                 1.0735,                  0.867,                 1.1529,                0.80069,                0.65601,                0.75219,                0.52414,                0.98404,                0.72772,                 1.0739,               0.006898,               0.006898,               0.006898
                     97,                 1.0763,                 0.8688,                 1.1544,                0.80509,                0.65318,                 0.7518,                0.52423,                0.98316,                0.72784,                 1.0732,               0.006865,               0.006865,               0.006865
                     98,                  1.072,                0.86412,                 1.1524,                0.80192,                0.65552,                0.75227,                0.52467,                0.98256,                0.72729,                 1.0729,               0.006832,               0.006832,               0.006832
                     99,                 1.0732,                0.86738,                 1.1507,                 0.8057,                0.65492,                0.75238,                0.52457,                0.98197,                0.72732,                 1.0723,               0.006799,               0.006799,               0.006799
                    100,                 1.0716,                0.86355,                   1.15,                0.80351,                0.65595,                0.75227,                 0.5246,                 0.9813,                0.72753,                 1.0719,               0.006766,               0.006766,               0.006766
                    101,                 1.0716,                0.86712,                 1.1521,                0.80326,                0.65445,                0.75121,                0.52441,                0.98085,                0.72725,                 1.0719,               0.006733,               0.006733,               0.006733
                    102,                 1.0703,                0.86374,                  1.151,                0.80392,                0.65431,                0.75216,                0.52484,                0.98062,                0.72739,                 1.0717,                 0.0067,                 0.0067,                 0.0067
                    103,                 1.0694,                0.86426,                 1.1505,                0.80754,                0.65387,                0.75269,                0.52499,                0.97999,                0.72684,                 1.0711,               0.006667,               0.006667,               0.006667
                    104,                 1.0716,                 0.8632,                 1.1495,                0.80632,                0.65578,                  0.752,                0.52532,                0.98006,                0.72641,                  1.071,               0.006634,               0.006634,               0.006634
                    105,                 1.0694,                0.86383,                   1.15,                0.80481,                 0.6561,                0.75272,                0.52526,                0.97943,                0.72586,                 1.0706,               0.006601,               0.006601,               0.006601
                    106,                 1.0695,                0.86054,                 1.1498,                0.80338,                0.65699,                 0.7525,                0.52578,                0.97861,                0.72584,                 1.0701,               0.006568,               0.006568,               0.006568
                    107,                 1.0713,                0.86222,                 1.1503,                0.80346,                0.65728,                  0.753,                0.52602,                0.97886,                0.72612,                 1.0701,               0.006535,               0.006535,               0.006535
                    108,                 1.0661,                0.85834,                 1.1473,                0.80077,                0.65717,                 0.7532,                0.52633,                0.97842,                0.72585,                 1.0698,               0.006502,               0.006502,               0.006502
                    109,                  1.068,                0.86023,                 1.1507,                 0.8039,                0.65534,                0.75283,                0.52649,                0.97825,                0.72542,                 1.0697,               0.006469,               0.006469,               0.006469
                    110,                 1.0676,                0.86225,                 1.1479,                0.80418,                0.65588,                0.75306,                0.52674,                0.97859,                0.72449,                   1.07,               0.006436,               0.006436,               0.006436
                    111,                 1.0653,                0.85903,                 1.1464,                0.80391,                0.65504,                0.75305,                0.52664,                0.97941,                0.72437,                 1.0703,               0.006403,               0.006403,               0.006403
                    112,                 1.0678,                0.85811,                 1.1478,                0.80545,                0.65525,                0.75371,                0.52659,                0.97933,                0.72424,                   1.07,                0.00637,                0.00637,                0.00637
                    113,                  1.066,                0.85742,                 1.1485,                0.80003,                0.65848,                  0.754,                 0.5269,                0.97918,                0.72404,                   1.07,               0.006337,               0.006337,               0.006337
                    114,                 1.0623,                0.85494,                  1.146,                0.80375,                 0.6583,                0.75411,                0.52709,                0.97895,                0.72348,                 1.0698,               0.006304,               0.006304,               0.006304
                    115,                 1.0641,                0.85477,                 1.1475,                0.80159,                0.65888,                 0.7544,                0.52727,                0.97842,                0.72297,                 1.0695,               0.006271,               0.006271,               0.006271
                    116,                 1.0644,                0.85655,                 1.1481,                0.80193,                0.66162,                0.75519,                0.52779,                0.97795,                0.72274,                 1.0692,               0.006238,               0.006238,               0.006238
                    117,                 1.0638,                0.85498,                 1.1464,                0.80219,                0.66039,                0.75516,                 0.5276,                0.97755,                0.72217,                 1.0694,               0.006205,               0.006205,               0.006205
                    118,                 1.0613,                0.85497,                 1.1462,                0.80315,                0.66151,                0.75542,                 0.5282,                0.97752,                0.72196,                 1.0695,               0.006172,               0.006172,               0.006172
                    119,                 1.0645,                0.85519,                 1.1475,                0.80638,                0.65854,                0.75543,                0.52847,                0.97703,                0.72146,                 1.0692,               0.006139,               0.006139,               0.006139
                    120,                 1.0612,                0.85135,                 1.1451,                0.80786,                0.65856,                0.75551,                0.52849,                0.97768,                 0.7203,                 1.0694,               0.006106,               0.006106,               0.006106
                    121,                 1.0613,                0.85089,                 1.1456,                0.80712,                0.65922,                0.75616,                0.52906,                0.97831,                0.72033,                 1.0697,               0.006073,               0.006073,               0.006073
                    122,                 1.0613,                0.85267,                 1.1452,                0.80334,                 0.6593,                0.75627,                0.52931,                0.97808,                0.72078,                 1.0694,                0.00604,                0.00604,                0.00604
                    123,                 1.0622,                0.85339,                 1.1455,                0.80296,                0.65918,                0.75579,                0.52902,                0.97729,                0.72085,                 1.0691,               0.006007,               0.006007,               0.006007
