               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  87,            0.047287,            0.045016,           0.0041496,             0.76225,              0.5756,              0.6634,             0.39715,             0.04329,            0.030227,           0.0024801,            0.007162,            0.007162,            0.007162
                  88,            0.047162,            0.044865,           0.0041158,              0.7624,             0.57546,              0.6635,             0.39755,            0.043279,            0.030224,           0.0024794,            0.007129,            0.007129,            0.007129
                  89,            0.047211,            0.044883,           0.0041651,             0.76406,             0.57529,               0.664,              0.3973,            0.043271,            0.030221,           0.0024762,            0.007096,            0.007096,            0.007096
                  90,            0.047244,            0.045169,           0.0041185,             0.76171,             0.57454,             0.66407,             0.39742,            0.043256,            0.030212,           0.0024759,            0.007063,            0.007063,            0.007063
                  91,            0.047167,            0.044937,           0.0040821,             0.76523,             0.57302,             0.66422,             0.39784,            0.043243,            0.030204,           0.0024759,             0.00703,             0.00703,             0.00703
                  92,            0.047144,            0.044954,           0.0041004,             0.76914,              0.5714,             0.66351,             0.39788,            0.043233,            0.030197,           0.0024755,            0.006997,            0.006997,            0.006997
                  93,            0.047162,            0.045183,           0.0040682,             0.76967,             0.57374,             0.66421,             0.39808,             0.04322,            0.030184,           0.0024774,            0.006964,            0.006964,            0.006964
                  94,            0.047169,            0.044936,           0.0040761,             0.76716,             0.57495,             0.66483,             0.39837,            0.043208,            0.030185,           0.0024781,            0.006931,            0.006931,            0.006931
                  95,            0.047065,            0.044965,             0.00404,             0.76621,             0.57617,             0.66522,             0.39865,            0.043195,            0.030181,           0.0024754,            0.006898,            0.006898,            0.006898
                  96,            0.047065,            0.044874,           0.0040616,             0.76602,             0.57618,             0.66554,             0.39872,             0.04318,            0.030174,           0.0024736,            0.006865,            0.006865,            0.006865
                  97,            0.046991,            0.044833,           0.0040709,             0.76492,             0.57721,             0.66563,             0.39913,            0.043172,            0.030166,           0.0024761,            0.006832,            0.006832,            0.006832
                  98,            0.047101,            0.044939,           0.0040775,             0.76474,             0.57669,             0.66528,             0.39898,            0.043162,            0.030159,           0.0024772,            0.006799,            0.006799,            0.006799
                  99,            0.047066,            0.045012,           0.0040697,             0.76625,             0.57763,             0.66498,             0.39943,            0.043151,             0.03015,           0.0024764,            0.006766,            0.006766,            0.006766
                 100,            0.046977,            0.044818,           0.0040746,             0.76972,             0.57678,             0.66517,             0.39972,            0.043138,            0.030143,            0.002474,            0.006733,            0.006733,            0.006733
                 101,            0.047048,            0.044863,           0.0040575,             0.76959,             0.57667,             0.66528,             0.39974,            0.043127,            0.030138,           0.0024727,              0.0067,              0.0067,              0.0067
                 102,            0.047021,             0.04489,           0.0040456,             0.76743,              0.5788,             0.66641,             0.39994,            0.043116,            0.030126,           0.0024714,            0.006667,            0.006667,            0.006667
                 103,            0.047006,            0.044919,           0.0040822,              0.7711,             0.57883,             0.66644,             0.39986,            0.043103,            0.030118,           0.0024704,            0.006634,            0.006634,            0.006634
                 104,            0.047028,            0.044875,           0.0040441,             0.77149,             0.57927,             0.66669,              0.4001,            0.043091,            0.030107,           0.0024703,            0.006601,            0.006601,            0.006601
                 105,            0.046903,            0.044818,            0.004061,             0.76968,             0.58101,             0.66728,             0.40046,            0.043079,            0.030101,            0.002471,            0.006568,            0.006568,            0.006568
                 106,            0.046898,            0.044888,           0.0040236,             0.76904,             0.57963,             0.66693,             0.40068,            0.043074,            0.030091,           0.0024711,            0.006535,            0.006535,            0.006535
                 107,            0.046873,            0.044894,           0.0040356,             0.76839,             0.57995,             0.66652,             0.40085,            0.043065,            0.030085,           0.0024698,            0.006502,            0.006502,            0.006502
