                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     78,                0.78584,                0.38514,                0.96371,                0.97469,                0.96656,                0.97549,                0.72542,                  1.332,                0.48822,                 1.5363,              0.0012489,              0.0012489,              0.0012489
                     79,                0.76014,                  0.378,                0.95393,                0.97121,                0.97648,                0.98455,                0.71523,                  1.334,                0.48011,                 1.4426,              0.0012434,              0.0012434,              0.0012434
                     80,                0.77844,                0.39407,                0.96887,                0.98132,                 0.9826,                0.99243,                0.77423,                  1.197,                0.46172,                 1.3437,              0.0012379,              0.0012379,              0.0012379
                     81,                0.76961,                0.39654,                0.95909,                0.94027,                0.94512,                0.94729,                0.66721,                 1.5119,                0.58497,                   1.62,              0.0012324,              0.0012324,              0.0012324
                     82,                0.76151,                0.38393,                0.96474,                0.98235,                0.97267,                 0.9876,                 0.7624,                 1.2317,                0.46573,                 1.3748,              0.0012269,              0.0012269,              0.0012269
                     83,                0.78214,                0.38312,                0.95274,                0.98081,                 0.9785,                0.99155,                0.75847,                 1.2431,                0.45917,                 1.3747,              0.0012214,              0.0012214,              0.0012214
                     84,                0.75951,                0.37378,                0.95475,                0.98114,                0.98065,                0.98582,                0.76384,                 1.2573,                0.46646,                 1.3854,              0.0012159,              0.0012159,              0.0012159
                     85,                 0.7589,                0.37732,                0.96208,                0.97285,                0.97246,                0.98272,                0.76818,                 1.1949,                0.46058,                 1.3838,              0.0012104,              0.0012104,              0.0012104
                     86,                0.75903,                0.37544,                0.94865,                0.96819,                0.96037,                0.97246,                0.74179,                  1.234,                0.47519,                 1.4025,              0.0012049,              0.0012049,              0.0012049
                     87,                0.76857,                0.37631,                0.96074,                0.96439,                0.95516,                0.97036,                0.73709,                 1.3198,                 0.4983,                 1.5108,              0.0011994,              0.0011994,              0.0011994
                     88,                0.77479,                0.39015,                0.95476,                0.98731,                0.98171,                0.98738,                0.75713,                 1.2713,                0.47714,                 1.4478,              0.0011939,              0.0011939,              0.0011939
                     89,                0.76576,                0.38067,                0.96122,                 0.9736,                0.96668,                0.97514,                 0.7434,                 1.2663,                0.46666,                 1.4059,              0.0011884,              0.0011884,              0.0011884
                     90,                0.76153,                0.37113,                0.94961,                0.97174,                0.96867,                0.97725,                 0.7259,                 1.2922,                 0.5135,                 1.5004,              0.0011829,              0.0011829,              0.0011829
                     91,                0.74484,                0.36537,                0.94739,                0.95293,                0.94659,                0.96402,                0.73952,                 1.3267,                0.48666,                  1.471,              0.0011774,              0.0011774,              0.0011774
                     92,                0.75557,                0.37625,                0.95269,                0.98272,                 0.9723,                0.98187,                0.73949,                 1.2821,                0.49493,                 1.4189,              0.0011719,              0.0011719,              0.0011719
                     93,                0.74718,                0.36775,                0.94258,                0.96333,                0.94906,                0.96702,                0.76756,                 1.2956,                0.47682,                 1.4915,              0.0011664,              0.0011664,              0.0011664
                     94,                0.74302,                0.36404,                0.94686,                0.96819,                0.96187,                0.97091,                0.74157,                 1.3061,                0.49353,                 1.4789,              0.0011609,              0.0011609,              0.0011609
                     95,                0.73292,                 0.3624,                0.94332,                0.96622,                0.96208,                0.97065,                0.73407,                 1.3143,                0.50115,                 1.5067,              0.0011554,              0.0011554,              0.0011554
                     96,                0.75304,                0.37194,                0.94945,                0.97756,                0.97256,                0.97744,                0.74796,                 1.2834,                0.47056,                 1.4106,              0.0011499,              0.0011499,              0.0011499
                     97,                0.73637,                0.36202,                 0.9368,                0.98142,                0.97503,                 0.9885,                0.74955,                 1.2748,                0.46816,                 1.3947,              0.0011444,              0.0011444,              0.0011444
                     98,                0.73504,                0.35993,                0.94063,                0.96413,                0.96126,                 0.9709,                0.74384,                 1.3091,                0.48055,                 1.4967,              0.0011389,              0.0011389,              0.0011389
